value,label
ALABAMA_ADAMSVILLE,"Alabama, Adamsville"
ALABAMA_ADDISON,"Alabama, Addison"
ALABAMA_AKRON,"Alabama, Akron"
ALABAMA_ABBEVILLE,"Alabama, Abbeville"
ALABAMA_ALABASTER,"Alabama, Alabaster"
ALABAMA_ALBERTVILLE,"Alabama, Albertville"
ALABAMA_ALEXANDER_CITY,"Alabama, Alexander City"
ALABAMA_ALEXANDRIA,"Alabama, Alexandria"
ALABAMA_ALICEVILLE,"Alabama, Aliceville"
ALABAMA_ALLGOOD,"Alabama, Allgood"
ALABAMA_ALTOONA,"Alabama, Altoona"
ALABAMA_ANDALUSIA,"Alabama, Andalusia"
ALABAMA_ANDERSON,"Alabama, Anderson"
ALABAMA_ANNISTON,"Alabama, Anniston"
ALABAMA_ARAB,"Alabama, Arab"
ALABAMA_ARDMORE,"Alabama, Ardmore"
ALABAMA_ARGO,"Alabama, Argo"
ALABAMA_ARITON,"Alabama, Ariton"
ALABAMA_ARLEY,"Alabama, Arley"
ALABAMA_ASHFORD,"Alabama, Ashford"
ALABAMA_ASHLAND,"Alabama, Ashland"
ALABAMA_ASHVILLE,"Alabama, Ashville"
ALABAMA_ATHENS,"Alabama, Athens"
ALABAMA_ATMORE,"Alabama, Atmore"
ALABAMA_ATTALLA,"Alabama, Attalla"
ALABAMA_AUBURN,"Alabama, Auburn"
ALABAMA_AUTAUGAVILLE,"Alabama, Autaugaville"
ALABAMA_AVON,"Alabama, Avon"
ALABAMA_BABBIE,"Alabama, Babbie"
ALABAMA_BAILEYTON,"Alabama, Baileyton"
ALABAMA_BANKS,"Alabama, Banks"
ALABAMA_BAY_MINETTE,"Alabama, Bay Minette"
ALABAMA_BAYOU_LA_BATRE,"Alabama, Bayou La Batre"
ALABAMA_BEAR_CREEK,"Alabama, Bear Creek"
ALABAMA_BEATRICE,"Alabama, Beatrice"
ALABAMA_BEAVERTON,"Alabama, Beaverton"
ALABAMA_BELK,"Alabama, Belk"
ALABAMA_BENTON,"Alabama, Benton"
ALABAMA_BERRY,"Alabama, Berry"
ALABAMA_BESSEMER,"Alabama, Bessemer"
ALABAMA_BILLINGSLEY,"Alabama, Billingsley"
ALABAMA_BIRMINGHAM,"Alabama, Birmingham"
ALABAMA_BLACK,"Alabama, Black"
ALABAMA_BLOUNTSVILLE,"Alabama, Blountsville"
ALABAMA_BLUE_MOUNTAIN,"Alabama, Blue Mountain"
